pval
6.237e-14
2.467e-12
0.0003225
3.895e-15
0.001401
1.093e-05
0.1387
0.01376
0.0001719
0.05378
0.1103
0.9997
0.1546
0.2519
0.1435
0.8326
0.4248
2.422e-06
0.1249
0.01444
0.03222
7.612e-12
